Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Sidney Cooke,United Kingdom,,1989,3,20,"Described by The Guardian newspaper in 1999 as ""Britain's most notorious paedophile"", Cooke and his infamous paedophile ring were convicted of the murder of 14-year-old Jason Swift in 1984. They were also known by police to have been responsible for the abductions and murders of children Barry Lewis and Mark Tildesley. Cooke was the ringleader of the gang, who are believed to have murdered up to 20 children, possibly including Vishal Mehrotra and Martin Allen.",Europe,United Kingdom,Male,<NA>s
Bertha Gifford,United States,1909,1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.",North America,United States,Female,1900s
Bernhard Prigan,"Allied-occupied Germany, West Germany",1947,1952,3,16,Killed women near highways; confessed to a total of 16 murders.,Multiple continents,Multiple Countries,Male,1940s
Ronald Janssen,Belgium,1990,,3,15,,Europe,Belgium,Male,1990s
Patrick Mackay[a],United Kingdom,1973,1975,3,13,"Burglar suspect of 12 violent murders during robberies, charged with five, convicted of three. The two other cases were left to lie on file, and proof was later found by police that he had killed one of these victims. Confessed to police that he had killed 13 people. Has been eligible for parole since 1995 and since 2017 has been held in an open prison with day release provisions. Now known as 'David Groves'.",Europe,United Kingdom,Male,1970s
Koos Hertogs,Netherlands,1979,1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s.",Europe,Netherlands,Male,1970s
Michael Gargiulo,United States,1993,2008,3,10,"Dubbed ""The Hollywood Ripper"", Gargiulo stabbed 3 women to death, and tried to kill a fourth woman. Sentenced to death in 2021 but still on death row.",North America,United States,Male,1990s
Chisako Kakehi,Japan,2007,2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.",Asia,Japan,Male,2000s
Heriberto Seda,United States,1990,1996,3,8,"Considered to be a copycat of the Zodiac Killer. Claimed to have killed people based on their zodiac signs, and only killed when certain star formations were out.",North America,United States,Male,1990s
Anthony Hardy,United Kingdom,2002,2011,3,8,"Known as the ""Camden Ripper"", killed and dismembered three sex workers in Camden, London in 2002. Police believe he could be responsible for the murders of three other sex workers in London in the 1990s and two others in Nottinghamshire. One other unsolved murder he was linked to was solved in 2011 when her former partner John Sweeney was convicted of her murder.",Europe,United Kingdom,Male,2000s
Michael Lee Lockhart,United States,1987,1988,3,6,"Multi-state serial killer who received death sentences in three states (Florida, Indiana, and Texas). He was executed in 1997 in Texas.",North America,United States,Male,1980s
Peter Dupas,Australia,1997,1999,3,6,"Sexual sadist from Melbourne, who murdered three women and is suspected of at least three further killings. Was convicted of 16 separate acts of sexual violence before his first murder charge. Serving three consecutive life sentences without the possibility of parole.",Oceania,Australia,Male,1990s
Stephen Griffiths,United Kingdom,2009,2010,3,6,"Known to have killed three sex workers, but claimed to police to have killed 6. Has been a suspect in one other murder. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.",Europe,United Kingdom,Male,2000s
Levi Bellfield,United Kingdom,2002,2004,3,6,"West London serial killer convicted of two fatal hammer attacks on women and the murder of Milly Dowler. Also a suspect in the murders of his childhood girlfriend Patsy Morris in 1980, Judith Gold, who was hit over the head in 1990, and Elizabeth Chau, who disappeared in 1999 and whose murder Bellfield has allegedly confessed to.",Europe,United Kingdom,Male,2000s
Hans van Zon,Netherlands,1967,1976,3,5,"After the relationship between Hans van Zon and his girlfriend ended in April 1967, van Zon alleged that she continued to impose on him. To put an end to this, he went into her house and killed her with a self-made lead pipe. He also killed an 80-year-old shopkeeper, and a milkman in robberies. In addition to the murders he was tried for, van Zon was also suspected of several other murders, including the lust murder of Elly Segov in 1964 and the murder of the English homosexual film director Claude Berkeley in 1965.",Europe,Netherlands,Male,1960s
Judy Buenoano,United States,1971,1980,3,5,"Poisoned her husband, boyfriend and son with arsenic; drowned the son in 1980 but caught in 1983 after poisoning and car bombing a fiancée.",North America,United States,Male,1970s
Martin Ney,Germany,1992,2004,3,5,Wore a mask while killing 3 and sexually assaulting at least 40 children.,Europe,Germany,Male,1990s
Paul Denyer,Australia,1993,2002,3,5,"The ""Frankston Killer"", sentenced to three consecutive life sentences with a non-parole period of 30 years.",Oceania,Australia,Male,1990s
Bandali Debs,Australia,1997,1998,3,5,"Convicted of the murder of Kirsty Harty at Upper Beaconsfield in 1997, and of the Moorabbin Police murders 14 months later to avoid arrest for a string of armed robberies; sentenced to three consecutive life sentences plus 27 years without the possibility of parole.",Oceania,Australia,Male,1990s
Gordon Northcott,United States,1928,1937,3,12,"Pedophile who abducted and murdered boys aged between 10 and 12 in Los Angeles and then disposed of the bodies with the help of his mother, Sarah Louise Northcott, and his underage nephew Sanford Clark, whom Northcott had repeatedly threatened and sexually abused. Police considered Northcott a suspect in the disappearance of as many as 20 missing boys in the area that Northcott admitted to have molested, but not murdered; one of these boys surfaced years later alive and confirmed Northcott's version. According to Clark, only four boys were held and murdered in Northcott's property; the three LA children whose remains were found and for whom Northcott was hanged, and an unidentified Mexican boy that Northcott beheaded and disposed of the body near La Puente, California.",North America,United States,Male,1920s
Peter Kudzinowski,United States,1924,1928,3,4,"Convicted and executed for the murder of an adult in Scranton, Pennsylvania and two children in New Jersey. Also suspect in the death of two other children in New York City, although Albert Fish later confessed to have murdered one of them himself.",North America,United States,Male,1920s
Harvey Glatman,United States,1957,1958,3,4,"Known as ""The Lonely Hearts Killer""; Californian rapist and killer; lured women to pose for ""bondage photographs""; executed in the gas chamber on September 18, 1959.",North America,United States,Male,1950s
Martha Ann Johnson,United States,1977,1982,3,4,"Convicted of smothering three of her children in Atlanta between 1977 and 1982. Sentenced to life in prison on May 5, 1990.",North America,United States,Male,1970s
Vlado Taneski,Republic of Macedonia,2005,2008,3,4,"A crime journalist, Taneski came under suspicion when his articles on the rape and murder of three elderly women included information that had not been disclosed by the police. All the victims were poor, uneducated cleaners and knew Taneski's mother. Taneski killed himself in prison before he could be interrogated for the murder of a fourth woman.",Europe,Republic of Macedonia,Male,2000s
Özkan Zengin,Turkey,2008,2017,3,4,Slit the throats of three confirmed victims before dumping the bodies in wells. Reportedly confessed to an additional murder.,Asia,Turkey,Male,2000s
Khalil Wheeler-Weaver,United States,2016,2025,3,4,"American serial killer from Orange, New Jersey, Wheeler-Weaver lured his victims using dating apps and murdered three women and attempted to kill a fourth between August 2016 and November 2016. One of the victim's friends created a fake account and lured him to a meeting before notifying police.",North America,United States,Male,2010s
William Henry Hance,United States,1977,1978,3,4,Hance murdered three women in and around military bases in the late 1970s. He attempted to blame two of the murders on white vigilantes outraged over a series of murders later attributed to Carlton Gary. Hance was also blamed for the murder of a fourth woman at Fort Benjamin Harrison in Indiana but was never brought to trial for this crime.,North America,United States,Male,1970s
"""Charlie Chop-off""",United States,1972,1973,3,4,"Unidentified assailant who attacked young black and Puerto Rican boys and mutilated their genitals with a straight razor, killing three and leaving one castrated. Another suspected victim was killed but did not have his genitals mutilated. A single suspect was arrested for attempting to abduct another boy, confessed to one of the murders and was hesitantly identified by the surviving victim, but was found unfit for trial and may have been in a mental hospital during the murders.",North America,United States,Male,1970s
François Vérove,France,1986,1994,3,6,"Nicknamed ""Le Grêlé"" (""the pockmarked man""), Verove a former police officer is blamed for four murders and a series of rapes since 1986. His confessed was found on his suicide note alongside body after he killed himself in 2021. The crimes include the 1986 murder of an 11-year-old child, Cécile Bloch, in Paris.",Europe,France,Male,1980s
Louise Peete,United States,1912,1942,3,3,"Convicted of murdering a man and woman decades apart, four other acquaintances died suspiciously and four husbands committed suicide.",North America,United States,Male,1910s
Westley Allan Dodd,United States,1989,1998,3,3,"Dodd had an extensive arrest record for molesting children by the time his behavior escalated to include murder. Refusing to appeal his death sentence, he stated that he ""should be punished to the full extent of the law, as should all sex offenders and murderers"", and that if he ever escaped, he would immediately return to ""killing and raping kids"". Executed in 1993; his hanging was the first in the United States in 28 years.",North America,United States,Male,1980s
Scott Erskine,United States,1989,1993,3,3,Convicted of raping and murdering a woman in 1989 and the torture-murders of 2 boys in 1993. May be linked to other murders.,North America,United States,Male,1980s
Donald Leroy Evans,United States,1985,1991,3,3,"Murdered a young girl and two women. Suspected of another dozen murders but recanted confessions to over 70 more. Stabbed to death by another death row inmate on January 5, 1999.",North America,United States,Male,1980s
